feature_key,en_phrases_count,en_pos_success,en_neg_suppressed_all,ar_synonyms_count,ar_pos_success,ar_neg_suppressed_all,overall_success,en_pos_example,en_neg_example,ar_pos_example,ar_neg_example
facial_weakness_or_paralysis,1,1,1,3,1,1,1,Patient reports facial weakness or paralysis.,Patient denies facial weakness or paralysis.; Patient has no facial weakness or paralysis.,أعاني من ضعف; أعاني من شلل,لا يوجد ضعف; ما في ضعف
recurrent_episodes_of_wheezing,1,1,1,2,1,1,1,Patient reports recurrent episodes of wheezing.,Patient denies recurrent episodes of wheezing.; Patient has no recurrent episodes of wheezing.,أعاني من صفير; أعاني من أزيز,لا يوجد صفير; ما في صفير
sudden,1,1,1,1,1,1,1,Patient reports sudden.,Patient denies sudden.; Patient has no sudden.,أعاني من مفاجئ,لا يوجد مفاجئ; ما في مفاجئ
sensitivity_to_light_and_sound,1,1,1,3,1,1,1,Patient reports sensitivity to light and sound.,Patient denies sensitivity to light and sound.; Patient has no sensitivity to light and sound.,أعاني من حساسيه للضوء; أعاني من رهاب الضوء,لا يوجد حساسيه للضوء; ما في حساسيه للضوء
or_face,1,1,1,2,1,1,1,Patient reports or face.,Patient denies or face.; Patient has no or face.,أعاني من الوجه; أعاني من وجه,لا يوجد الوجه; ما في الوجه
post_nasal_drip,2,1,1,3,1,1,1,Patient reports post nasal drip.; Patient reports post-nasal drip.,Patient denies post nasal drip.; Patient has no post nasal drip.,أعاني من تقاطر انفي; أعاني من افرازات خلفية بالأنف,لا يوجد تقاطر انفي; ما في تقاطر انفي
trouble_concentrating_or_making_decisions,1,1,1,1,1,1,1,Patient reports trouble concentrating or making decisions.,Patient denies trouble concentrating or making decisions.; Patient has no trouble concentrating or making decisions.,أعاني من صعوبه التركيز او اتخاذ القرار,لا يوجد صعوبه التركيز او اتخاذ القرار; ما في صعوبه التركيز او اتخاذ القرار
sore_throat,1,1,1,3,1,1,1,Patient reports sore throat.,Patient denies sore throat.; Patient has no sore throat.,أعاني من التهاب حلق; أعاني من الم حلق,لا يوجد التهاب حلق; ما في التهاب حلق
headaches,1,1,1,4,1,1,1,Patient reports headaches.,Patient denies headaches.; Patient has no headaches.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
sweating,1,1,1,1,1,1,1,Patient reports sweating.,Patient denies sweating.; Patient has no sweating.,أعاني من تعرق,لا يوجد تعرق; ما في تعرق
sphincterotomy,1,1,1,1,1,1,1,Patient reports sphincterotomy.,Patient denies sphincterotomy.; Patient has no sphincterotomy.,أعاني من قطع المصره (سفنكتروتومي),لا يوجد قطع المصره (سفنكتروتومي); ما في قطع المصره (سفنكتروتومي)
abnormal_bleeding_or_spotting,1,1,1,3,1,1,1,Patient reports abnormal bleeding or spotting.,Patient denies abnormal bleeding or spotting.; Patient has no abnormal bleeding or spotting.,أعاني من نزف; أعاني من نزيف,لا يوجد نزف; ما في نزف
infertility,1,1,1,1,1,1,1,Patient reports infertility.,Patient denies infertility.; Patient has no infertility.,أعاني من عقم,لا يوجد عقم; ما في عقم
eye_pain_or_discomfort,1,1,1,2,1,1,1,Patient reports eye pain or discomfort.,Patient denies eye pain or discomfort.; Patient has no eye pain or discomfort.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
gradual_loss_of_vision,1,1,1,6,1,1,1,Patient reports gradual loss of vision.,Patient denies gradual loss of vision.; Patient has no gradual loss of vision.,أعاني من رؤيه; أعاني من مشاكل الرؤيه,لا يوجد رؤيه; ما في رؤيه
arm,1,1,1,2,1,1,1,Patient reports arm.,Patient denies arm.; Patient has no arm.,أعاني من ذراع; أعاني من يد,لا يوجد ذراع; ما في ذراع
webbed_neck,1,1,1,1,1,1,1,Patient reports webbed neck.,Patient denies webbed neck.; Patient has no webbed neck.,أعاني من رقبة,لا يوجد رقبة; ما في رقبة
swollen_and_tender_abdomen,1,1,1,5,1,1,1,Patient reports swollen and tender abdomen.,Patient denies swollen and tender abdomen.; Patient has no swollen and tender abdomen.,أعاني من مؤلم عند اللمس; أعاني من ايلام,لا يوجد مؤلم عند اللمس; ما في مؤلم عند اللمس
scaly_patches_on_the_skin,1,1,1,2,1,1,1,Patient reports scaly patches on the skin.,Patient denies scaly patches on the skin.; Patient has no scaly patches on the skin.,أعاني من قشور على الجلد; أعاني من تقشر الجلد,لا يوجد قشور على الجلد; ما في قشور على الجلد
hoarseness,1,1,1,1,1,1,1,Patient reports hoarseness.,Patient denies hoarseness.; Patient has no hoarseness.,أعاني من بحه الصوت,لا يوجد بحه الصوت; ما في بحه الصوت
urge_to_move_legs_for_relief,1,1,1,2,1,1,1,Patient reports urge to move legs for relief.,Patient denies urge to move legs for relief.; Patient has no urge to move legs for relief.,أعاني من ساق; أعاني من قدم,لا يوجد ساق; ما في ساق
chest_pain_sharp_or_dull,1,1,1,5,1,1,1,Patient reports chest pain sharp or dull.,Patient denies chest pain sharp or dull.; Patient has no chest pain sharp or dull.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
cyanosis_bluish_discoloration_of_the_skin,1,1,1,3,1,1,1,Patient reports cyanosis bluish discoloration of the skin.,Patient denies cyanosis bluish discoloration of the skin.; Patient has no cyanosis bluish discoloration of the skin.,أعاني من زرقه الجلد; أعاني من جلد,لا يوجد زرقه الجلد; ما في زرقه الجلد
fractures,2,1,1,2,1,1,1,Patient reports fractures.; Patient reports fracture.,Patient denies fractures.; Patient has no fractures.,أعاني من كسور; أعاني من كسر,لا يوجد كسور; ما في كسور
sudden_and_severe_abdominal_or_pelvic_pain_on_one_side,1,1,1,4,1,1,1,Patient reports sudden and severe abdominal or pelvic pain on one side.,Patient denies sudden and severe abdominal or pelvic pain on one side.; Patient has no sudden and severe abdominal or pelvic pain on one side.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
pale_stools,1,1,1,2,1,1,1,Patient reports pale stools.,Patient denies pale stools.; Patient has no pale stools.,أعاني من شحوب; أعاني من براز شاحب,لا يوجد شحوب; ما في شحوب
brief_muscle_contractions_or_jerks,1,1,1,3,1,1,1,Patient reports brief muscle contractions or jerks.,Patient denies brief muscle contractions or jerks.; Patient has no brief muscle contractions or jerks.,أعاني من نفضات عضليه; أعاني من انقباضات عضليه قصيره,لا يوجد نفضات عضليه; ما في نفضات عضليه
slow_healing_of_wounds,1,1,1,3,1,1,1,Patient reports slow healing of wounds.,Patient denies slow healing of wounds.; Patient has no slow healing of wounds.,أعاني من بطيء; أعاني من جرح,لا يوجد بطيء; ما في بطيء
hearing_loss_or_muffled_hearing_in_the_affected_ear,1,1,1,3,1,1,1,Patient reports hearing loss or muffled hearing in the affected ear.,Patient denies hearing loss or muffled hearing in the affected ear.; Patient has no hearing loss or muffled hearing in the affected ear.,أعاني من اذن; أعاني من فقدان السمع,لا يوجد اذن; ما في اذن
pain_during_intercourse,1,1,1,2,1,1,1,Patient reports pain during intercourse.,Patient denies pain during intercourse.; Patient has no pain during intercourse.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
endoscopic_retrograde_cholangiopancreatography_ercp_with_stone_removal,1,1,1,2,1,1,1,Patient reports endoscopic retrograde cholangiopancreatography ercp with stone removal.,Patient denies endoscopic retrograde cholangiopancreatography ercp with stone removal.; Patient has no endoscopic retrograde cholangiopancreatography ercp with stone removal.,أعاني من منظار القنوات الصفراويه (ercp); أعاني من ازاله حصوات,لا يوجد منظار القنوات الصفراويه (ercp); ما في منظار القنوات الصفراويه (ercp)
thoughts_of_self_harm_or_harming_the_baby,1,1,1,2,1,1,1,Patient reports thoughts of self harm or harming the baby.,Patient denies thoughts of self harm or harming the baby.; Patient has no thoughts of self harm or harming the baby.,أعاني من ذراع; أعاني من يد,لا يوجد ذراع; ما في ذراع
changes_in_skin_color_or_temperature,1,1,1,1,1,1,1,Patient reports changes in skin color or temperature.,Patient denies changes in skin color or temperature.; Patient has no changes in skin color or temperature.,أعاني من تغيرات لون الجلد أو حرارته,لا يوجد تغيرات لون الجلد أو حرارته; ما في تغيرات لون الجلد أو حرارته
frequent_infections,1,1,1,1,1,1,1,Patient reports frequent infections.,Patient denies frequent infections.; Patient has no frequent infections.,أعاني من متكرر,لا يوجد متكرر; ما في متكرر
manic_episodes,1,1,1,1,1,1,1,Patient reports manic episodes.,Patient denies manic episodes.; Patient has no manic episodes.,أعاني من هوسي,لا يوجد هوسي; ما في هوسي
salty_tasting_skin,1,1,1,3,1,1,1,Patient reports salty tasting skin.,Patient denies salty tasting skin.; Patient has no salty tasting skin.,أعاني من جلد; أعاني من طعم جلدي مالح,لا يوجد جلد; ما في جلد
fluid_retention,1,1,1,1,1,1,1,Patient reports fluid retention.,Patient denies fluid retention.; Patient has no fluid retention.,أعاني من احتباس السوائل,لا يوجد احتباس السوائل; ما في احتباس السوائل
confusion,1,1,1,2,1,1,1,Patient reports confusion.,Patient denies confusion.; Patient has no confusion.,أعاني من ارتباك; أعاني من هذيان,لا يوجد ارتباك; ما في ارتباك
swollen_lymph_nodes,1,1,1,4,1,1,1,Patient reports swollen lymph nodes.,Patient denies swollen lymph nodes.; Patient has no swollen lymph nodes.,أعاني من متورم; أعاني من العقد اللمفاويه,لا يوجد متورم; ما في متورم
often_affecting_the_arms,1,1,1,2,1,1,1,Patient reports often affecting the arms.,Patient denies often affecting the arms.; Patient has no often affecting the arms.,أعاني من ذراع; أعاني من يد,لا يوجد ذراع; ما في ذراع
hopelessness,1,1,1,1,1,1,1,Patient reports hopelessness.,Patient denies hopelessness.; Patient has no hopelessness.,أعاني من ياس,لا يوجد ياس; ما في ياس
body_aches,1,1,1,3,1,1,1,Patient reports body aches.,Patient denies body aches.; Patient has no body aches.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
high_blood_pressure,1,1,1,1,1,1,1,Patient reports high blood pressure.,Patient denies high blood pressure.; Patient has no high blood pressure.,أعاني من ارتفاع ضغط الدم,لا يوجد ارتفاع ضغط الدم; ما في ارتفاع ضغط الدم
sensitivity_to_cold,1,1,1,2,1,1,1,Patient reports sensitivity to cold.,Patient denies sensitivity to cold.; Patient has no sensitivity to cold.,أعاني من حساسيه للبرد; أعاني من عدم تحمل البرد,لا يوجد حساسيه للبرد; ما في حساسيه للبرد
lymphedema,1,1,1,2,1,1,1,Patient reports lymphedema.,Patient denies lymphedema.; Patient has no lymphedema.,أعاني من وذمه; أعاني من وذمه لمفيه,لا يوجد وذمه; ما في وذمه
loss_of_height_over_time,1,1,1,1,1,1,1,Patient reports loss of height over time.,Patient denies loss of height over time.; Patient has no loss of height over time.,أعاني من نقص الطول مع الزمن,لا يوجد نقص الطول مع الزمن; ما في نقص الطول مع الزمن
halos_around_lights,1,1,1,1,1,1,1,Patient reports halos around lights.,Patient denies halos around lights.; Patient has no halos around lights.,أعاني من هالات حول الاضواء,لا يوجد هالات حول الاضواء; ما في هالات حول الاضواء
pale_skin,1,1,1,2,1,1,1,Patient reports pale skin.,Patient denies pale skin.; Patient has no pale skin.,أعاني من شحوب; أعاني من جلد,لا يوجد شحوب; ما في شحوب
severe_and_chronic_pain,1,1,1,3,1,1,1,Patient reports severe and chronic pain.,Patient denies severe and chronic pain.; Patient has no severe and chronic pain.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
urgency,1,1,1,1,1,1,1,Patient reports urgency.,Patient denies urgency.; Patient has no urgency.,أعاني من الحاح بولي,لا يوجد الحاح بولي; ما في الحاح بولي
eye_movement_abnormalities,1,1,1,1,1,1,1,Patient reports eye movement abnormalities.,Patient denies eye movement abnormalities.; Patient has no eye movement abnormalities.,أعاني من اضطرابات حركه العين,لا يوجد اضطرابات حركه العين; ما في اضطرابات حركه العين
frequent_urination,1,1,1,3,1,1,1,Patient reports frequent urination.,Patient denies frequent urination.; Patient has no frequent urination.,أعاني من متكرر; أعاني من تبول,لا يوجد متكرر; ما في متكرر
excessive_hair_growth,1,1,1,2,1,1,1,Patient reports excessive hair growth.,Patient denies excessive hair growth.; Patient has no excessive hair growth.,أعاني من فرط الشعر; أعاني من الشعرانيه,لا يوجد فرط الشعر; ما في فرط الشعر
dizziness,1,1,1,1,1,1,1,Patient reports dizziness.,Patient denies dizziness.; Patient has no dizziness.,أعاني من دوخة,لا يوجد دوخة; ما في دوخة
itching,1,1,1,2,1,1,1,Patient reports itching.,Patient denies itching.; Patient has no itching.,أعاني من حكة; أعاني من هرش,لا يوجد حكة; ما في حكة
recurrent_lung_infections,1,1,1,1,1,1,1,Patient reports recurrent lung infections.,Patient denies recurrent lung infections.; Patient has no recurrent lung infections.,أعاني من متكرر,لا يوجد متكرر; ما في متكرر
emptiness,1,1,1,1,1,1,1,Patient reports emptiness.,Patient denies emptiness.; Patient has no emptiness.,أعاني من شعور بالفراغ,لا يوجد شعور بالفراغ; ما في شعور بالفراغ
bruising,1,1,1,1,1,1,1,Patient reports bruising.,Patient denies bruising.; Patient has no bruising.,أعاني من كدمات,لا يوجد كدمات; ما في كدمات
usually_in_the_evening_or_at_night,1,1,1,1,1,1,1,Patient reports usually in the evening or at night.,Patient denies usually in the evening or at night.; Patient has no usually in the evening or at night.,أعاني من غالبًا في المساء أو الليل,لا يوجد غالبًا في المساء أو الليل; ما في غالبًا في المساء أو الليل
stiffness,1,1,1,1,1,1,1,Patient reports stiffness.,Patient denies stiffness.; Patient has no stiffness.,أعاني من تيبس,لا يوجد تيبس; ما في تيبس
malaise,1,1,1,1,1,1,1,Patient reports malaise.,Patient denies malaise.; Patient has no malaise.,أعاني من توعك عام,لا يوجد توعك عام; ما في توعك عام
lump_or_swelling_in_the_testicles,1,1,1,5,1,1,1,Patient reports lump or swelling in the testicles.,Patient denies lump or swelling in the testicles.; Patient has no lump or swelling in the testicles.,أعاني من تورم; أعاني من انتفاخ,لا يوجد تورم; ما في تورم
severe_headache,1,1,1,4,1,1,1,Patient reports severe headache.,Patient denies severe headache.; Patient has no severe headache.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
swollen_eyelids,1,1,1,1,1,1,1,Patient reports swollen eyelids.,Patient denies swollen eyelids.; Patient has no swollen eyelids.,أعاني من متورم,لا يوجد متورم; ما في متورم
slowness_of_movement,1,1,1,2,1,1,1,Patient reports slowness of movement.,Patient denies slowness of movement.; Patient has no slowness of movement.,أعاني من بطيء; أعاني من بطء الحركه,لا يوجد بطيء; ما في بطيء
difficulty_speaking_or_walking,1,1,1,1,1,1,1,Patient reports difficulty speaking or walking.,Patient denies difficulty speaking or walking.; Patient has no difficulty speaking or walking.,أعاني من صعوبه الكلام او المشي,لا يوجد صعوبه الكلام او المشي; ما في صعوبه الكلام او المشي
lack_of_interest,1,1,1,2,1,1,1,Patient reports lack of interest.,Patient denies lack of interest.; Patient has no lack of interest.,أعاني من قله اهتمام; أعاني من انعدام الاهتمام,لا يوجد قله اهتمام; ما في قله اهتمام
burning_sensation_during_urination,1,1,1,3,1,1,1,Patient reports burning sensation during urination.,Patient denies burning sensation during urination.; Patient has no burning sensation during urination.,أعاني من حرقة بول; أعاني من حرقان بول,لا يوجد حرقة بول; ما في حرقة بول
abdominal_pain_often_in_the_upper_right_quadrant,1,1,1,4,1,1,1,Patient reports abdominal pain often in the upper right quadrant.,Patient denies abdominal pain often in the upper right quadrant.; Patient has no abdominal pain often in the upper right quadrant.,أعاني من ألم; أعاني من وجع,لا يوجد ألم; ما في ألم
coughing_up_blood_or_pink_tinged_sputum,1,1,1,2,1,1,1,Patient reports coughing up blood or pink tinged sputum.,Patient denies coughing up blood or pink tinged sputum.; Patient has no coughing up blood or pink tinged sputum.,أعاني من سعال; أعاني من كحة,لا يوجد سعال; ما في سعال
decreased_urine_output,1,1,1,6,1,1,1,Patient reports decreased urine output.,Patient denies decreased urine output.; Patient has no decreased urine output.,أعاني من بول; أعاني من نقص كميه البول,لا يوجد بول; ما في بول
changes_in_testicular_size_or_shape,1,1,1,1,1,1,1,Patient reports changes in testicular size or shape.,Patient denies changes in testicular size or shape.; Patient has no changes in testicular size or shape.,أعاني من خصوي,لا يوجد خصوي; ما في خصوي
wheezing,2,1,1,4,1,1,1,Patient reports wheezing.; Patient reports wheeze.,Patient denies wheezing.; Patient has no wheezing.,أعاني من صفير; أعاني من ازيز,لا يوجد صفير; ما في صفير
often_in_the_limbs,1,1,1,1,1,1,1,Patient reports often in the limbs.,Patient denies often in the limbs.; Patient has no often in the limbs.,أعاني من غالبًا في الأطراف,لا يوجد غالبًا في الأطراف; ما في غالبًا في الأطراف
enlarged_spleen_or_liver,1,1,1,4,1,1,1,Patient reports enlarged spleen or liver.,Patient denies enlarged spleen or liver.; Patient has no enlarged spleen or liver.,أعاني من كبد; أعاني من طحال,لا يوجد كبد; ما في كبد
